Language,FLORES-200 code
Belarusian,bel_Cyrl
Bosnian,bos_Latn
Bulgarian,bul_Cyrl
Czech,ces_Latn
English,eng_Latn
Estonian,est_Latn
Basque,eus_Latn
Finnish,fin_Latn
French,fra_Latn
Scottish Gaelic,gla_Latn
Irish,gle_Latn
Hebrew,heb_Hebr
Hindi,hin_Deva
Croatian,hrv_Latn
Hungarian,hun_Latn
Armenian,hye_Armn
Icelandic,isl_Latn
Italian,ita_Latn
Japanese,jpn_Jpan
Georgian,kat_Geor
Central Kanuri (Arabic script),knc_Arab
Central Kanuri (Latin script),knc_Latn
Kazakh,kaz_Cyrl
Korean,kor_Hang
Lithuanian,lit_Latn
Luxembourgish,ltz_Latn
Standard Latvian,lvs_Latn
Macedonian,mkd_Cyrl
Norwegian Nynorsk,nno_Latn
Western Persian,pes_Arab
Polish,pol_Latn
Portuguese,por_Latn
Romanian,ron_Latn
Rundi,run_Latn
Russian,rus_Cyrl
Sanskrit,san_Deva
Slovak,slk_Latn
Slovenian,slv_Latn
Spanish,spa_Latn
Tosk Albanian,als_Latn
Sardinian,srd_Latn
Serbian,srp_Cyrl
Swedish,swe_Latn
Thai,tha_Thai
Turkish,tur_Latn
Ukrainian,ukr_Cyrl
Venetian,vec_Latn
Vietnamese,vie_Latn
Chinese (Simplified),zho_Hans
Chinese (Traditional),zho_Hant
